OpenTime,Open,High,Low,Close,Volume,CloseTime
28-Nov-2025 00:00:00,91333.94,91417.99,90652.55,91208.85,1930.05393,28-Nov-2025 03:59:59
28-Nov-2025 04:00:00,91208.85,91707.79,90867.43,90910.87,1873.92377,28-Nov-2025 07:59:59
28-Nov-2025 08:00:00,90910.87,92030,90907.98,91437.64,3175.31997,28-Nov-2025 11:59:59
28-Nov-2025 12:00:00,91437.64,93092,91380.94,92362.49,5046.613,28-Nov-2025 15:59:59
28-Nov-2025 16:00:00,92362.5,92376,90180.63,91157.44,5779.19663,28-Nov-2025 19:59:59
28-Nov-2025 20:00:00,91157.44,91247.16,90705.57,90890.7,1025.75282,28-Nov-2025 23:59:59
29-Nov-2025 00:00:00,90890.71,91119.99,90546.36,90680.26,940.81817,29-Nov-2025 03:59:59
29-Nov-2025 04:00:00,90680.26,90931.56,90311.92,90567.67,1229.54953,29-Nov-2025 07:59:59
29-Nov-2025 08:00:00,90567.66,90738.17,90376.37,90673.19,957.44805,29-Nov-2025 11:59:59
29-Nov-2025 12:00:00,90673.2,91110.36,90530.93,91063.5,1148.02698,29-Nov-2025 15:59:59
29-Nov-2025 16:00:00,91063.5,91165.65,90155.47,90640.78,2192.51887,29-Nov-2025 19:59:59
29-Nov-2025 20:00:00,90640.77,91051.87,90400.21,90802.44,961.52131,29-Nov-2025 23:59:59
30-Nov-2025 00:00:00,90802.44,91055.5,90471,90909.35,1115.17062,30-Nov-2025 03:59:59
30-Nov-2025 04:00:00,90909.35,91037.72,90670.4,90968.16,549.91781,30-Nov-2025 07:59:59
30-Nov-2025 08:00:00,90968.16,91632,90927.16,91048.78,2515.69204,30-Nov-2025 11:59:59
30-Nov-2025 12:00:00,91048.79,92000.01,91009,91435.31,2629.14986,30-Nov-2025 15:59:59
30-Nov-2025 16:00:00,91435.31,91850,91159.42,91460.79,1049.01646,30-Nov-2025 19:59:59
30-Nov-2025 20:00:00,91460.79,91626.75,90336.9,90360,1828.79496,30-Nov-2025 23:59:59
01-Dec-2025 00:00:00,90360.01,90417,86161.61,86346.13,10249.65966,01-Dec-2025 03:59:59
01-Dec-2025 04:00:00,86346.13,86578.06,85604,86550.3,4937.16707,01-Dec-2025 07:59:59
01-Dec-2025 08:00:00,86550.3,86938.01,86131.01,86149.15,3005.76787,01-Dec-2025 11:59:59
01-Dec-2025 12:00:00,86146.59,86674,83822.76,84677.87,8124.37241,01-Dec-2025 15:59:59
01-Dec-2025 16:00:00,84677.87,85555,84030.95,85024.5,4598.10295,01-Dec-2025 19:59:59
01-Dec-2025 20:00:00,85024.5,86860,85007.69,86286.01,3593.94231,01-Dec-2025 23:59:59
02-Dec-2025 00:00:00,86286.01,87350,86184.39,86976.99,3245.81604,02-Dec-2025 03:59:59
02-Dec-2025 04:00:00,86977,87288.48,86818.14,87012.65,1733.23534,02-Dec-2025 07:59:59
02-Dec-2025 08:00:00,87012.64,87628.78,86296.21,87368.92,3361.03567,02-Dec-2025 11:59:59
02-Dec-2025 12:00:00,87368.92,91200,87032.75,90850.01,9300.50019,02-Dec-2025 15:59:59
